,Tweet,Polarity
0, free real estate to take and neom becomes a hit,p
4, just give up dude nobody wants to go to saudi,n
5, nobody gives a fuck,n
7, sounds absolutely vile,n
8, cringe,n
9, neom sounds like a dystopian sci-fi city looks like a dystopian sci-fi city will be run like a dystopian sci-fi city i'm pretty sure i know what it is,p
10, never-ending obnoxious marketing,n
11,   its a fancy smelling candle ,n
12, the oligarchs of the world know they are driving civilization to collapse so they are building replacement cities,n
16, nobody cares,n
17, invest in space  it's  future,n
19, a propaganda project,n
20, somehow sounds dystopian and innovative at the same time,p
21, when are we going to be able to walk though be immersed in and engage with others in 's #digitaltwin in #vr,p
22," to invest in the future should i:
 have babies or
 give my money to an authoritarian monarchy building a dystopian total-surveillance line through the desert
",n
24, play golf in the morning watch people being beheaded for witchcraft in the afternoon - what a great place,n
25, i refuse its more fun guessing im going with new england otter market,n
27, once i live there will i be able to keep googling what i want,n
29, it doesn't make sense to have a d city the value of a city comes from agglomeration,n
32, neon is that the construction project trying to build that crazy line city in the middle of a desert,p
36, you are the worst thing that could happen to the planet logans run reality,n
39, fantasy land,p
43," no thank you

i try to avoid theocratic despotic nations",n
44, be serious,n
48, it's a very expensive prison,n
50, a tribute to modern slavery of the west,n
51," neom is just a fancy newly repackaged communism 
throw it in the garbage along with google all junk",n
52, this is very funny to see that arab countries are in double benifits selling oli and property to western world and fool western people's buy and leaving there own culture and homeland but arabs don't have home for seriya and other refugees,n
53, do we really need a new religion havent the old ones already caused enough chaos,n
54, when you have more money than sand and you have lots of sand,n
57, it's a spaceship,p
59, nice prison,n
61, lol never gonna happen literal vapourware why put out ads hehehe,n
63, spending hella lotta money on fantasy ,n
66, amazing future  ,p
67, neom is a dystopian surveillance state city which is terrible for the environment and will destroy thousands of peoples way of life,p
69, bullshit,n
71, cant wait to see more in the coming years unbelievable what saudi arabia is building,p
74, i love neon,p
75," it's fantastic
the innovative development will last for generations ahead
best wishes
we love you",p
77, neom its a dystopian concept of a city where the workers stay in the basement,n
81, this looks amazing a beautiful paradise in saudi has a beautiful ring to it,p
84, seems to me that the effort being put into this thing that will change the way we live on this planet should be used more sensibly to preserve the planet that we live on and that the #bigoil backing it needs to be exposed for the ecocide it is perpetrating,p
85, neom is an israeli colony in arabia,n
90, a city built in blood  horrifying and disturbing ,n
96, imagine shutting down this places ventilation grid,u
97, i googled what is neom and found out  people are being evicted and forced to relocate so you can build your smart city,n
98, its moen faucets backwards ,n
99," you can't even make a coherent  second commercial  

you're not creating a blueprint for civilization

i'd be shocked if you can even make a bacon sandwich",n
100, its a fancy min prison,n
101, a very exciting partnership between powerhouse companies that will bring #ai innovation to #neom and beyond love seeing intersections of sustainability culture and technology,p
102, i hate this a-hole promotion blocked you pos (person of suspicion),u
103, this damn promo should come with a trigger warning  ,u
104, bright future of ksa,p
105, how can i join #neom ,u
106," have you ever wondered what we do in #neom  you can find the answer on google just search for what is neom
 #whathyneum",p
107, we are coming bro  ,p
108, make wadi disa a national park it is a true breathtaking jewel,u
110, slaveholders bullshit project,n
111, do the guys on the golf course know there is no sprawling golf course in neom i think they would hate it,n
112, i prefer to call it by its nickname bone saw city  come to get permission to marry your fiance stay because youve been sawed to bits while still alive,n
113," great saudi arabia have promised that neom project will be finished until  a mega ultra science fiction city worth  billion
impossible 
yes 
why 
saudi arabia isn't able to finish many other 'traditional' infrastructure projects as kaec
sorry for the truth",n
114, love you saudi arabia muhammad ben salman great man good job for saudi arabia,p
115, just dont film and same sex scenes or the whole production gets beheaded chopped into pieces and buried in the desert,n
116, i like it,p
118, who knows whether this will be good or bad but that advertising is giving off some scary dystopia vibes,u
119, will there be affordable houses will my neighbours be noisy will it be hot will their be a newsagents,u
120, neom looks like an environmental catastrophe,n
122, just call it megacity one and be done with it  ,p
123, a super-project for vain murderous oil psychopaths in a senseless part of a senseless desert that will never completed,n
124, it's scary shit to say the very least,n
125, this is the stupidest thing ever spending  billion in a silly dystopic housing project you could have created spacex tata and toyota with all that with jobs to  million people ,n
126, is that bill cosby,n
127, why did the saudi arabians speak english but the germans spoke german,u
128, the line seems like a dystopian city,p
129, i don't know what is it but the creativity in advertising is awesome ,u
130, this is the socialism push its about an idea that will never happen where there is money or power mankind will never share equally its that trait that has made us top of the food chain but its a lovely thought,n
132, i would rather die than live there,n
133, what is neom is it perhaps the technofantasy of an authoritarian state (one which hasn't yet realised that freedom of speech and human rights promote creativity),n
134, its a brilliant project in saudi arabia ,p
135, you are bombing kids in yemen,n
136, looks bloody awful to me unless youre a sheep,n
137, its where dreamers shape the future ,p
139, it's a scam none it will actually get built everyone knows that,n
140, very inspiring  all the best neom,p
143, amazing looking for opportunities  ,p
144," quick question 

at the moment you are making people aware what is neom your next phase will be  ",u
146, inshallah my new home,p
147, yes but all of your ideas are bollocks,n
149, you are obviously primarily just creating online ads for some megalomaniac vanity project that exists only on paper,n
153, ok is a new scam,n
154, neom is evil just like wef who un the line is a fancy prison run by a psycho and it will turn into a nightmare guaranteed,n
155, good instead of wasting money to go to mars they are making their inhostile land to very hostile,n
156, this sounds distopian as shit,n
158, neom can change recent landscape to other shapes but the big question is can it change people culture to be aligned with modern lifestyle,u
163, what a load of bollocks,n
164, neom medical acronym for no evidence of malignancy  there were worse choices,n
165, this has dystopia written all over it,n
